student_number,first_name,last_name,middle_name,email,program_code,year_level,college_code,college_name
2022-00001,Francesca Nicole,Dayaday,,fdayaday@lpulaguna.edu.ph,BSIT,2,CCAS,College of Computer and Applied Sciences
2022-00002,Juan,Dela Cruz,Santos,jdelacruz@lpulaguna.edu.ph,BSIT,1,CCAS,College of Computer and Applied Sciences
2022-00003,Maria,Santos,Reyes,msantos@lpulaguna.edu.ph,BSCS-DS,2,CCAS,College of Computer and Applied Sciences
2022-00004,Pedro,Garcia,Lopez,pgarcia@lpulaguna.edu.ph,BSCS-DS,1,CCAS,College of Computer and Applied Sciences
2022-00005,Ana,Martinez,Cruz,amartinez@lpulaguna.edu.ph,BSPSY,3,CAS,College of Arts and Sciences
2022-00006,Carlos,Rodriguez,Diaz,crodriguez@lpulaguna.edu.ph,BSPSY,2,CAS,College of Arts and Sciences
2022-00007,Sofia,Hernandez,Gomez,shernandez@lpulaguna.edu.ph,BMA,4,CBA,College of Business Administration
2022-00008,Miguel,Lopez,Torres,mlopez@lpulaguna.edu.ph,BMA,3,CBA,College of Business Administration
2022-00009,Isabella,Gonzalez,Ramirez,igonzalez@lpulaguna.edu.ph,ABCOMM,2,CCSEAS,College of Communication and Social and Educational Applied Sciences
2022-00010,Diego,Perez,Flores,dperez@lpulaguna.edu.ph,BS-CYBER,1,CCAS,College of Computer and Applied Sciences
